timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
"2025-01-03T00:00:00.000Z","2025-01-03T23:59:59.999Z","2025-01-03T23:09:00.000Z","2025-01-03T00:25:00.000Z","2781",0.194679754,0.2247325676,0.1906774754,0.2245438029,7479704.79,224498479.87,"2025-01-03T23:59:59.999Z"
"2025-01-02T00:00:00.000Z","2025-01-02T23:59:59.999Z","2025-01-02T23:57:00.000Z","2025-01-02T00:17:00.000Z","2781",0.1635034455,0.1947123708,0.1631608271,0.194679754,6142171.7,194640458.83,"2025-01-02T23:59:59.999Z"
"2025-01-01T00:00:00.000Z","2025-01-01T23:59:59.999Z","2025-01-01T23:28:00.000Z","2025-01-01T14:45:00.000Z","2781",0.1587648822,0.1642206405,0.1564925346,0.1635034689,4169977.99,163470443.18,"2025-01-01T23:59:59.999Z"
"2024-12-31T00:00:00.000Z","2024-12-31T23:59:59.999Z","2024-12-31T16:30:00.000Z","2024-12-31T21:01:00.000Z","2781",0.1650745981,0.1728006118,0.1579047039,0.1587648822,5930773.55,158732836.26,"2024-12-31T23:59:59.999Z"
"2024-12-30T00:00:00.000Z","2024-12-30T23:59:59.999Z","2024-12-30T01:49:00.000Z","2024-12-30T15:40:00.000Z","2781",0.1722621188,0.1763162896,0.1642411474,0.1650745981,5369021.63,165041278.67,"2024-12-30T23:59:59.999Z"
"2024-12-29T00:00:00.000Z","2024-12-29T23:59:59.999Z","2024-12-29T00:01:00.000Z","2024-12-29T23:31:00.000Z","2781",0.1875100267,0.1875544987,0.1713195107,0.1722621316,3980211.2,172227348.58,"2024-12-29T23:59:59.999Z"
"2024-12-28T00:00:00.000Z","2024-12-28T23:59:59.999Z","2024-12-28T22:57:00.000Z","2024-12-28T08:37:00.000Z","2781",0.184908757,0.1882310024,0.1833496886,0.1875097961,3616251.26,187472178.71,"2024-12-28T23:59:59.999Z"
"2024-12-27T00:00:00.000Z","2024-12-27T23:59:59.999Z","2024-12-27T09:58:00.000Z","2024-12-27T22:09:00.000Z","2781",0.1924833446,0.19805499,0.1840309713,0.184908757,4755947.32,184871434.13,"2024-12-27T23:59:59.999Z"
"2024-12-26T00:00:00.000Z","2024-12-26T23:59:59.999Z","2024-12-26T18:49:00.000Z","2024-12-26T08:40:00.000Z","2781",0.1942156011,0.1965365286,0.1804906284,0.1924835493,5683156.77,192444492.78,"2024-12-26T23:59:59.999Z"
"2024-12-25T00:00:00.000Z","2024-12-25T23:59:59.999Z","2024-12-25T23:46:00.000Z","2024-12-25T16:42:00.000Z","2781",0.1903436026,0.1946129872,0.1886181875,0.1942156011,4378415.48,194176399.65,"2024-12-25T23:59:59.999Z"
"2024-12-24T00:00:00.000Z","2024-12-24T23:59:59.999Z","2024-12-24T18:22:00.000Z","2024-12-24T10:54:00.000Z","2781",0.1813582871,0.1943792671,0.1722308732,0.1904667569,5176778.97,190305182.67,"2024-12-24T23:59:59.999Z"
"2024-12-23T00:00:00.000Z","2024-12-23T23:59:59.999Z","2024-12-23T21:42:00.000Z","2024-12-23T02:28:00.000Z","2781",0.1698464477,0.1842503664,0.1640628683,0.1813582871,4908240.81,181321680.81,"2024-12-23T23:59:59.999Z"
"2024-12-22T00:00:00.000Z","2024-12-22T23:59:59.999Z","2024-12-22T00:51:00.000Z","2024-12-22T20:10:00.000Z","2781",0.177596286,0.1782867587,0.1668477203,0.1701033062,2922229.93,169812165.02,"2024-12-22T23:59:59.999Z"
"2024-12-21T00:00:00.000Z","2024-12-21T23:59:59.999Z","2024-12-21T07:46:00.000Z","2024-12-21T23:19:00.000Z","2781",0.1877171258,0.1933847257,0.1770561303,0.177596286,4535504.18,177560439.06,"2024-12-21T23:59:59.999Z"
"2024-12-20T00:00:00.000Z","2024-12-20T23:59:59.999Z","2024-12-20T02:55:00.000Z","2024-12-20T12:03:00.000Z","2781",0.2032146447,0.2075118239,0.1720282214,0.1877171258,7963085.6,187679236.07,"2024-12-20T23:59:59.999Z"
