timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-01T00:00:00.000Z";"2025-01-01T23:59:59.999Z";"2025-01-01T01:01:00.000Z";"2025-01-01T09:42:00.000Z";"2781";1.8580159009;1.9146394479;1.7609976129;1.8545188207;262535096.47;1852376367.45;"2025-01-01T23:59:59.999Z"
"2024-12-31T00:00:00.000Z";"2024-12-31T23:59:59.999Z";"2024-12-31T15:05:00.000Z";"2024-12-31T05:22:00.000Z";"2781";1.8235525017;1.9442936655;1.7368641272;1.8580159009;375019774.06;1855869408.42;"2024-12-31T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2024-12-30T23:59:59.999Z";"2024-12-30T12:28:00.000Z";"2024-12-30T16:54:00.000Z";"2781";1.8344519308;1.9301720744;1.7849935376;1.8235513934;327840381.57;1821444718.47;"2024-12-30T23:59:59.999Z"
"2024-12-29T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-29T01:04:00.000Z";"2024-12-29T22:25:00.000Z";"2781";1.9217971681;1.9447805023;1.8159881805;1.8344519308;186241890.87;1832332663.35;"2024-12-29T23:59:59.999Z"
"2024-12-28T00:00:00.000Z";"2024-12-28T23:59:59.999Z";"2024-12-28T17:23:00.000Z";"2024-12-28T01:37:00.000Z";"2781";1.8216200096;1.9646924298;1.801724122;1.921764023;237129796.1;1919543888.23;"2024-12-28T23:59:59.999Z"
"2024-12-27T00:00:00.000Z";"2024-12-27T23:59:59.999Z";"2024-12-27T10:10:00.000Z";"2024-12-27T07:43:00.000Z";"2781";1.8364695042;1.9299623629;1.8001378912;1.8216200096;250179616.52;1819515575.27;"2024-12-27T23:59:59.999Z"
"2024-12-26T00:00:00.000Z";"2024-12-26T23:59:59.999Z";"2024-12-26T00:22:00.000Z";"2024-12-26T21:17:00.000Z";"2781";1.9809327297;2.0026903616;1.8194996793;1.8364760399;253779681.85;1834354444.95;"2024-12-26T23:59:59.999Z"
"2024-12-25T00:00:00.000Z";"2024-12-25T23:59:59.999Z";"2024-12-25T03:07:00.000Z";"2024-12-25T21:21:00.000Z";"2781";2.0510817511;2.0779300053;1.9453098174;1.9809327297;254823139.44;1978644252.83;"2024-12-25T23:59:59.999Z"
"2024-12-24T00:00:00.000Z";"2024-12-24T23:59:59.999Z";"2024-12-24T15:28:00.000Z";"2024-12-24T02:22:00.000Z";"2781";2.0244622955;2.0951812368;1.9505687759;2.0510817511;323926760.03;2048712236.06;"2024-12-24T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-23T23:59:59.999Z";"2024-12-23T23:02:00.000Z";"2024-12-23T14:53:00.000Z";"2781";1.9139712404;2.0436872384;1.8515072345;2.0244622955;485264092.09;2022123536.33;"2024-12-23T23:59:59.999Z"
